citymaps/berlin.png
type,radius,x_pos,y_pos,x_vel,y_vel
circle,0.1,2.154,2.32,1.038,0.963
circle,0.1,1.505,2.349,0.937,0.996
circle,0.1,2.53,1.863,1.081,1.058
circle,0.1,2.038,2.162,1.046,0.948
circle,0.1,1.912,1.862,1.27,0.808
circle,0.1,1.87,2.017,0.973,0.87
circle,0.1,1.898,2.452,0.922,0.899
circle,0.1,2.76,1.538,0.88,0.949
circle,0.1,1.887,1.941,0.96,0.941
circle,0.1,1.84,1.915,0.938,0.975
type,radius,x_pos,y_pos,x_vel,y_vel
circle,0.1,0.0,0.0,0.0,0.0
circle,0.1,0.0,0.0,0.0,0.0
